#complex,groundtruth,sub-expression
((2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))&y)*((2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))|y)+((2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))&~y)*(~(2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))&y),a*y,(2*(a&b)+5*(a&~b)-1*(a|~b)-3*~(a&b)+4*~(a|b)+3*~(a|~b))
((4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)&y)*((4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)|y)+((4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)&~y)*(~(4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)&y),a*y,(4*(a&b)+1*(a&~b)-3*~(a&~b)+1*~(a|b)+1*~(a|~b)+2*~a)
((1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)&y)*((1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)|y)+((1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)&~y)*(~(1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)&y),a*y,(1*(a&b)+12*(a&~b)+18*~(a|b)+7*~(a|~b)-7*~a-11*~b)
((1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)&y)*((1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)|y)+((1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)&~y)*(~(1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)&y),a*y,(1*(a&b)+7*(a&~b)-11*~(a&b)+6*~(a|b)+11*~(a|~b)+5*~b)
((-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)&y)*((-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)|y)+((-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)&~y)*(~(-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)&y),a*y,(-11*(a&~b)+1*(a|b)-11*~(a|b)-1*~(a|~b)+11*~b)
((4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))&y)*((4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))|y)+((4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))&~y)*(~(4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))&y),a*y,(4*(a&b)+3*(a&~b)-3*(a|~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b))
((4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)&y)*((4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)|y)+((4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)&~y)*(~(4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)&y),a*y,(4*(a&b)+4*(a&~b)-3*a-7*~(a|b)-7*~(a|~b)+7*~a)
((6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))&y)*((6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))|y)+((6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))&~y)*(~(6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))&y),a*y,(6*(a&b)-1*(a&~b)+2*~(a&b)-5*~(a&~b)+3*~(a|b)+3*~(a|~b))
((1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)&y)*((1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)|y)+((1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)&~y)*(~(1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)&y),a*y,(1*(a&b)+1*(a^b)-1*~(a|b)-2*~(a|~b)+1*~a)
((3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)&y)*((3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)|y)+((3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)&~y)*(~(3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)&y),a*y,(3*(a&b)+3*(a&~b)-2*(a|b)+1*~(a|b)+3*~(a|~b)-1*~a)
((-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))&y)*((-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))|y)+((-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))&~y)*(~(-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))&y),a*y,(-6*(a&b)-4*(a&~b)+5*a+2*~(a^b)-2*~(a|b))
((1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)&y)*((1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)|y)+((1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)&~y)*(~(1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)&y),a*y,(1*(a&b)+2*(a&~b)-1*(a^b)-1*~(a|b)+1*~a)
((2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))&y)*((2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))|y)+((2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))&~y)*(~(2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))&y),a*y,(2*(a&b)+1*(a^b)-1*~(a^b)+1*~(a|b)-1*~(a|~b))
((6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)&y)*((6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)|y)+((6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)&~y)*(~(6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)&y),a*y,(6*(a&b)+13*(a&~b)-5*~(a&~a)+12*~(a|b)+5*~(a|~b)-7*~b)
((-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))&y)*((-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))|y)+((-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))&~y)*(~(-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))&y),a*y,(-4*(a&b)+3*(a&~b)+5*b-2*~(a&b)+2*~(a|b)-3*~(a|~b))
((-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)&y)*((-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)|y)+((-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)&~y)*(~(-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)&y),a*y,(-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)
((-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)&y)*((-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)|y)+((-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)&~y)*(~(-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)&y),a*y,(-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)
((1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)&y)*((1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)|y)+((1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)&~y)*(~(1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)&y),a*y,(1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)
((-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)&y)*((-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)|y)+((-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)&~y)*(~(-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)&y),a*y,(-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)
((4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))&y)*((4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))|y)+((4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))&~y)*(~(4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))&y),a*y,(4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))
((4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))&y)*((4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))|y)+((4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))&~y)*(~(4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))&y),a*y,(4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))
((1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))&y)*((1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))|y)+((1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))&~y)*(~(1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))&y),a*y,(1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))
((1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))&y)*((1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))|y)+((1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))&~y)*(~(1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))&y),a*y,(1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))
((8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))&y)*((8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))|y)+((8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))&~y)*(~(8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))&y),a*y,(8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))
((-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))&y)*((-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))|y)+((-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))&~y)*(~(-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))&y),a*y,(-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))
((-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)&y)*((-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)|y)+((-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)&~y)*(~(-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)&y),a*y,(-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)
((-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))&y)*((-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))|y)+((-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))&~y)*(~(-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))&y),a*y,(-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))
((1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)&y)*((1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)|y)+((1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)&~y)*(~(1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)&y),a*y,(1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)
((1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)&y)*((1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)|y)+((1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)&~y)*(~(1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)&y),a*y,(1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)
((12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))&y)*((12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))|y)+((12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))&~y)*(~(12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))&y),a*y,(12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))
(x&(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b)))*(x|(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b)))+(x&~(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b)))*(~x&(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b))),x*b,(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b))
(x&(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b)))*(x|(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b)))+(x&~(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b)))*(~x&(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b))),x*b,(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b))
